id_candidat,matieres_preferees,moyenne_scolaire,competences,centres_interet,projets,preferences_professionnelles,environnement_travail,parcours_cible
cand-000932,matiere_synthetique_4,11.34,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 3, ""competence-statistiques-informatique"": 3}",informatique,projet_personnel_tech,fonction_publique,terrain,parcours-igglia
cand-000837,matiere_synthetique_12;matiere_synthetique_5,10.45,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 4}",sante;design,,fonction_publique,bureau,parcours-esiia
cand-000152,matiere_synthetique_2;matiere_synthetique_3;matiere_synthetique_9,11.58,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 2, ""competence-multimedia-telecommunications"": 1, ""competence-statistiques-informatique"": 1}",tourisme,,salariat,bureau,parcours-igglia
cand-000583,matiere_synthetique_13,9.84,"{""competence-techniques-informatiques-gestion"": 1, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 1, ""competence-statistiques-informatique"": 5}",finance,,recherche,teletravail,parcours-esiia
cand-000639,matiere_synthetique_8;matiere_synthetique_13;matiere_synthetique_5,16.34,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 4, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 2}",ecologie;management,,entrepreneuriat,terrain,parcours-igglia
cand-000335,matiere_synthetique_12;matiere_synthetique_4,16.52,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 2}",management;finance,,entrepreneuriat,bureau,parcours-igglia
cand-000188,matiere_synthetique_12,12.42,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 2, ""competence-statistiques-informatique"": 2}",management,projet_personnel_tech,enseignement,bureau,parcours-esiia
cand-000759,matiere_synthetique_14,9.08,"{""competence-techniques-informatiques-gestion"": 2, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 1, ""competence-statistiques-informatique"": 3}",finance;agriculture,projet_associatif,recherche,hybride,parcours-esiia
cand-000088,matiere_synthetique_2;matiere_synthetique_17,8.58,"{""competence-techniques-informatiques-gestion"": 2, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 0}",ecologie,projet_personnel_tech,fonction_publique,hybride,parcours-imticia
cand-000263,matiere_synthetique_3,12.91,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 4, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 3}",agriculture;design,,enseignement,teletravail,parcours-imticia
cand-000667,matiere_synthetique_6;matiere_synthetique_1;matiere_synthetique_10,8.48,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 1, ""competence-statistiques-informatique"": 2}",finance;tourisme;robotique,,fonction_publique,terrain,parcours-igglia
cand-000938,matiere_synthetique_18;matiere_synthetique_20;matiere_synthetique_1,19.46,"{""competence-techniques-informatiques-gestion"": 4, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 3, ""competence-statistiques-informatique"": 1}",sante,,fonction_publique,terrain,parcours-igglia
cand-000808,matiere_synthetique_16,11.52,"{""competence-techniques-informatiques-gestion"": 4, ""competence-electronique-systemes"": 0, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 5}",robotique;design;sante,projet_associatif,fonction_publique,terrain,parcours-imticia
cand-000584,matiere_synthetique_5;matiere_synthetique_13,12.12,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 2, ""competence-statistiques-informatique"": 3}",ecologie;sante;design,projet_personnel_tech,entrepreneuriat,teletravail,parcours-igglia
cand-000363,matiere_synthetique_10;matiere_synthetique_7;matiere_synthetique_18,11.82,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 1, ""competence-multimedia-telecommunications"": 1, ""competence-statistiques-informatique"": 2}",design;tourisme;robotique,,entrepreneuriat,terrain,parcours-igglia
cand-000953,matiere_synthetique_12;matiere_synthetique_5,13.12,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 1, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 2}",agriculture,,salariat,terrain,parcours-igglia
cand-000648,matiere_synthetique_20;matiere_synthetique_14;matiere_synthetique_3,9.74,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 1, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 2}",design;informatique,projet_associatif,salariat,teletravail,parcours-imticia
cand-000435,matiere_synthetique_11;matiere_synthetique_1,16.2,"{""competence-techniques-informatiques-gestion"": 4, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 3, ""competence-statistiques-informatique"": 5}",robotique,projet_personnel_tech;projet_associatif,fonction_publique,hybride,parcours-isaia
cand-000131,matiere_synthetique_13;matiere_synthetique_6;matiere_synthetique_15,15.38,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 2}",robotique;informatique,projet_personnel_tech;projet_associatif,recherche,bureau,parcours-esiia
cand-000214,matiere_synthetique_20,19.16,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 2, ""competence-statistiques-informatique"": 3}",design;tourisme;robotique,,fonction_publique,teletravail,parcours-igglia
cand-000832,matiere_synthetique_15;matiere_synthetique_9;matiere_synthetique_15,13.61,"{""competence-techniques-informatiques-gestion"": 2, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 5}",management;agriculture;informatique,,recherche,teletravail,parcours-imticia
cand-000790,matiere_synthetique_10;matiere_synthetique_10,14.03,"{""competence-techniques-informatiques-gestion"": 2, ""competence-electronique-systemes"": 4, ""competence-multimedia-telecommunications"": 1, ""competence-statistiques-informatique"": 5}",management,,salariat,terrain,parcours-isaia
cand-000810,matiere_synthetique_19;matiere_synthetique_17,15.02,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 1}",tourisme;design;sante,projet_personnel_tech,entrepreneuriat,bureau,parcours-igglia
cand-000999,matiere_synthetique_13;matiere_synthetique_5;matiere_synthetique_14,14.17,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 2, ""competence-statistiques-informatique"": 3}",agriculture,,enseignement,bureau,parcours-igglia
cand-000756,matiere_synthetique_1,10.58,"{""competence-techniques-informatiques-gestion"": 0, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 5}",tourisme;ecologie;informatique,,recherche,bureau,parcours-esiia
cand-000413,matiere_synthetique_3,9.69,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 2, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 1}",management;finance;design,,salariat,hybride,parcours-igglia
cand-000477,matiere_synthetique_15,15.16,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 4, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 1}",design,projet_personnel_tech,entrepreneuriat,bureau,parcours-igglia
cand-000907,matiere_synthetique_14;matiere_synthetique_2,15.03,"{""competence-techniques-informatiques-gestion"": 1, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 2, ""competence-statistiques-informatique"": 5}",management,projet_personnel_tech;projet_associatif,salariat,hybride,parcours-esiia
cand-000099,matiere_synthetique_19;matiere_synthetique_11,10.9,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 1, ""competence-statistiques-informatique"": 0}",robotique;finance;sante,projet_associatif,fonction_publique,terrain,parcours-igglia
cand-000547,matiere_synthetique_19;matiere_synthetique_14;matiere_synthetique_1,13.97,"{""competence-techniques-informatiques-gestion"": 0, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 2}",tourisme;finance;management,,fonction_publique,terrain,parcours-imticia
cand-000573,matiere_synthetique_6;matiere_synthetique_20;matiere_synthetique_2,8.64,"{""competence-techniques-informatiques-gestion"": 1, ""competence-electronique-systemes"": 2, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 3}",management;ecologie,projet_associatif,recherche,teletravail,parcours-imticia
cand-000353,matiere_synthetique_3;matiere_synthetique_6,17.33,"{""competence-techniques-informatiques-gestion"": 4, ""competence-electronique-systemes"": 2, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 5}",robotique;design,,recherche,hybride,parcours-imticia
cand-000034,matiere_synthetique_20;matiere_synthetique_16,18.35,"{""competence-techniques-informatiques-gestion"": 1, ""competence-electronique-systemes"": 4, ""competence-multimedia-telecommunications"": 3, ""competence-statistiques-informatique"": 1}",informatique;robotique,projet_personnel_tech,recherche,teletravail,parcours-esiia
cand-000007,matiere_synthetique_5;matiere_synthetique_18;matiere_synthetique_8,13.63,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 2, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 5}",tourisme;design;sante,,salariat,hybride,parcours-imticia
cand-000215,matiere_synthetique_19,12.62,"{""competence-techniques-informatiques-gestion"": 4, ""competence-electronique-systemes"": 2, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 1}",ecologie,,entrepreneuriat,bureau,parcours-igglia
cand-000570,matiere_synthetique_12;matiere_synthetique_3,11.86,"{""competence-techniques-informatiques-gestion"": 1, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 4}",robotique;design;management,,enseignement,hybride,parcours-imticia
cand-000415,matiere_synthetique_4;matiere_synthetique_16;matiere_synthetique_1,9.83,"{""competence-techniques-informatiques-gestion"": 2, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 2}",informatique;design,,enseignement,bureau,parcours-esiia
cand-000670,matiere_synthetique_3;matiere_synthetique_1,17.36,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 4, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 2}",tourisme,,enseignement,terrain,parcours-imticia
cand-000947,matiere_synthetique_17;matiere_synthetique_17;matiere_synthetique_2,8.11,"{""competence-techniques-informatiques-gestion"": 4, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 3}",design,,enseignement,hybride,parcours-esiia
cand-000055,matiere_synthetique_20;matiere_synthetique_12,14.09,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 4, ""competence-multimedia-telecommunications"": 3, ""competence-statistiques-informatique"": 5}",management,,enseignement,hybride,parcours-igglia
cand-000235,matiere_synthetique_1;matiere_synthetique_10,15.32,"{""competence-techniques-informatiques-gestion"": 4, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 4}",finance;informatique,,recherche,bureau,parcours-igglia
cand-000072,matiere_synthetique_1;matiere_synthetique_14;matiere_synthetique_15,19.25,"{""competence-techniques-informatiques-gestion"": 4, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 2}",sante;robotique,projet_personnel_tech,entrepreneuriat,bureau,parcours-imticia
cand-000273,matiere_synthetique_20;matiere_synthetique_19;matiere_synthetique_17,10.24,"{""competence-techniques-informatiques-gestion"": 4, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 1, ""competence-statistiques-informatique"": 5}",tourisme,,entrepreneuriat,bureau,parcours-esiia
cand-000042,matiere_synthetique_10,9.24,"{""competence-techniques-informatiques-gestion"": 1, ""competence-electronique-systemes"": 2, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 3}",management,,entrepreneuriat,bureau,parcours-imticia
cand-000888,matiere_synthetique_1;matiere_synthetique_9;matiere_synthetique_10,17.29,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 3, ""competence-statistiques-informatique"": 2}",sante,projet_personnel_tech;projet_associatif,recherche,bureau,parcours-esiia
cand-000554,matiere_synthetique_20;matiere_synthetique_13;matiere_synthetique_18,11.62,"{""competence-techniques-informatiques-gestion"": 1, ""competence-electronique-systemes"": 1, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 1}",management,,fonction_publique,teletravail,parcours-imticia
cand-000434,matiere_synthetique_14,11.29,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 3, ""competence-statistiques-informatique"": 3}",sante;management;finance,,enseignement,hybride,parcours-esiia
cand-000220,matiere_synthetique_16,14.35,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 2, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 3}",robotique;finance,projet_personnel_tech,salariat,teletravail,parcours-imticia
cand-000726,matiere_synthetique_16;matiere_synthetique_20;matiere_synthetique_11,15.93,"{""competence-techniques-informatiques-gestion"": 2, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 2, ""competence-statistiques-informatique"": 5}",sante;informatique;management,projet_personnel_tech,enseignement,hybride,parcours-esiia
cand-000301,matiere_synthetique_13,14.59,"{""competence-techniques-informatiques-gestion"": 4, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 1}",management;sante,projet_personnel_tech,recherche,bureau,parcours-esiia
cand-000124,matiere_synthetique_5;matiere_synthetique_1;matiere_synthetique_10,11.86,"{""competence-techniques-informatiques-gestion"": 4, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 3, ""competence-statistiques-informatique"": 5}",informatique;ecologie;sante,projet_associatif,recherche,terrain,parcours-isaia
cand-000312,matiere_synthetique_3,15.94,"{""competence-techniques-informatiques-gestion"": 2, ""competence-electronique-systemes"": 4, ""competence-multimedia-telecommunications"": 3, ""competence-statistiques-informatique"": 1}",robotique;agriculture;tourisme,,enseignement,teletravail,parcours-esiia
cand-000068,matiere_synthetique_19;matiere_synthetique_16,11.99,"{""competence-techniques-informatiques-gestion"": 1, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 3, ""competence-statistiques-informatique"": 5}",informatique;agriculture;design,,enseignement,bureau,parcours-esiia
cand-000209,matiere_synthetique_5;matiere_synthetique_5,18.63,"{""competence-techniques-informatiques-gestion"": 0, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 5}",robotique;agriculture,projet_personnel_tech,salariat,terrain,parcours-esiia
cand-000404,matiere_synthetique_15;matiere_synthetique_18,17.1,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 1, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 5}",robotique;design,,enseignement,bureau,parcours-igglia
cand-000918,matiere_synthetique_2,16.74,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 3, ""competence-statistiques-informatique"": 5}",management,projet_associatif,enseignement,terrain,parcours-igglia
cand-000767,matiere_synthetique_3;matiere_synthetique_5,10.76,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 5}",sante,projet_associatif,entrepreneuriat,terrain,parcours-igglia
cand-000536,matiere_synthetique_20,17.88,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 4, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 1}",sante;tourisme,,entrepreneuriat,terrain,parcours-igglia
cand-000444,matiere_synthetique_8;matiere_synthetique_20,9.22,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 2, ""competence-statistiques-informatique"": 5}",robotique,,recherche,teletravail,parcours-igglia
cand-000205,matiere_synthetique_3;matiere_synthetique_18,14.48,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 3, ""competence-statistiques-informatique"": 2}",ecologie,,entrepreneuriat,terrain,parcours-esiia
cand-000442,matiere_synthetique_7;matiere_synthetique_8;matiere_synthetique_11,19.37,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 5}",finance;tourisme;management,,recherche,teletravail,parcours-igglia
cand-000669,matiere_synthetique_5;matiere_synthetique_16,16.42,"{""competence-techniques-informatiques-gestion"": 1, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 3, ""competence-statistiques-informatique"": 1}",finance,projet_personnel_tech,recherche,hybride,parcours-esiia
cand-000425,matiere_synthetique_9;matiere_synthetique_16;matiere_synthetique_15,8.39,"{""competence-techniques-informatiques-gestion"": 4, ""competence-electronique-systemes"": 4, ""competence-multimedia-telecommunications"": 1, ""competence-statistiques-informatique"": 5}",management;tourisme;design,projet_personnel_tech,recherche,terrain,parcours-isaia
cand-000453,matiere_synthetique_3;matiere_synthetique_8,12.45,"{""competence-techniques-informatiques-gestion"": 4, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 5}",robotique;informatique;management,,salariat,hybride,parcours-isaia
cand-000577,matiere_synthetique_8;matiere_synthetique_10;matiere_synthetique_17,11.87,"{""competence-techniques-informatiques-gestion"": 2, ""competence-electronique-systemes"": 0, ""competence-multimedia-telecommunications"": 0, ""competence-statistiques-informatique"": 2}",robotique;management;finance,,recherche,bureau,parcours-igglia
cand-000943,matiere_synthetique_4;matiere_synthetique_5,14.89,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 1, ""competence-statistiques-informatique"": 5}",design;informatique;agriculture,,enseignement,hybride,parcours-esiia
cand-000454,matiere_synthetique_3;matiere_synthetique_3,20.0,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 1, ""competence-statistiques-informatique"": 5}",informatique;tourisme,,fonction_publique,bureau,parcours-igglia
cand-000299,matiere_synthetique_3;matiere_synthetique_2;matiere_synthetique_9,14.82,"{""competence-techniques-informatiques-gestion"": 4, ""competence-electronique-systemes"": 0, ""competence-multimedia-telecommunications"": 3, ""competence-statistiques-informatique"": 2}",management,projet_personnel_tech,salariat,teletravail,parcours-igglia
cand-000265,matiere_synthetique_5,7.19,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 1, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 3}",design;management;finance,,recherche,bureau,parcours-igglia
cand-000426,matiere_synthetique_16;matiere_synthetique_2;matiere_synthetique_2,12.94,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 1, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 1}",management,,salariat,terrain,parcours-igglia
cand-000182,matiere_synthetique_19;matiere_synthetique_9;matiere_synthetique_17,11.7,"{""competence-techniques-informatiques-gestion"": 1, ""competence-electronique-systemes"": 4, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 1}",design;agriculture;tourisme,,entrepreneuriat,terrain,parcours-imticia
cand-000611,matiere_synthetique_2;matiere_synthetique_19;matiere_synthetique_16,13.64,"{""competence-techniques-informatiques-gestion"": 1, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 4}",design,,salariat,terrain,parcours-esiia
cand-000916,matiere_synthetique_11,16.91,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 1}",management;agriculture,,recherche,bureau,parcours-igglia
cand-000495,matiere_synthetique_12;matiere_synthetique_19;matiere_synthetique_2,14.43,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 2}",design,projet_personnel_tech,fonction_publique,teletravail,parcours-esiia
cand-000762,matiere_synthetique_17,11.52,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 3, ""competence-statistiques-informatique"": 4}",design;ecologie;robotique,projet_personnel_tech,enseignement,bureau,parcours-igglia
cand-000535,matiere_synthetique_16;matiere_synthetique_5,16.83,"{""competence-techniques-informatiques-gestion"": 4, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 1, ""competence-statistiques-informatique"": 1}",informatique,,salariat,bureau,parcours-esiia
cand-000884,matiere_synthetique_10,16.09,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 2, ""competence-multimedia-telecommunications"": 3, ""competence-statistiques-informatique"": 5}",informatique,,fonction_publique,terrain,parcours-igglia
cand-000983,matiere_synthetique_6;matiere_synthetique_8;matiere_synthetique_14,12.32,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 2}",informatique,,entrepreneuriat,teletravail,parcours-igglia
cand-000369,matiere_synthetique_3;matiere_synthetique_4,16.17,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 4, ""competence-multimedia-telecommunications"": 3, ""competence-statistiques-informatique"": 1}",agriculture;tourisme;finance,projet_personnel_tech;projet_associatif,salariat,bureau,parcours-esiia
cand-000743,matiere_synthetique_18;matiere_synthetique_20;matiere_synthetique_18,8.24,"{""competence-techniques-informatiques-gestion"": 4, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 2, ""competence-statistiques-informatique"": 3}",robotique;management,,recherche,teletravail,parcours-esiia
cand-000777,matiere_synthetique_7,13.05,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 2}",tourisme;sante;management,projet_personnel_tech,recherche,hybride,parcours-esiia
cand-000002,matiere_synthetique_19;matiere_synthetique_10;matiere_synthetique_1,15.35,"{""competence-techniques-informatiques-gestion"": 4, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 3}",finance;informatique,,entrepreneuriat,bureau,parcours-esiia
cand-000684,matiere_synthetique_11;matiere_synthetique_5;matiere_synthetique_3,12.09,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 4, ""competence-multimedia-telecommunications"": 2, ""competence-statistiques-informatique"": 2}",management;sante;tourisme,projet_personnel_tech,fonction_publique,terrain,parcours-igglia
